source_file,category,dataset_name,sha256,duplicate_group_id,duplicate_group_size,selected_for_combined,selected_source_file,row_count,unique_original_event_ids,column_count,columns,experiment_count,experiments,notes
significant_splicing_events_rbp - ISWI.csv,RBP,ISWI,02438d750492413b5ddcda2d0332e0aea4d541fe9da320f67dbc159ab77981a5,DUP001,2,Yes,significant_splicing_events_rbp - ISWI.csv,178,178,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,ISWI,Exact duplicate group; only the selected source was included in the combined event tables.
significant_splicing_events_rbp - Imp.csv,RBP,Imp,9196166a35b56eb6d02b9ffc8ed9f56f9b5cbe428e1cbe855901f2246d25e951,DUP020,1,Yes,significant_splicing_events_rbp - Imp.csv,146,146,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Imp,
significant_splicing_events_rbp - Nelf-E.csv,RBP,Nelf-E,ad42a59b482dbab1d178b1aa07add477dab184b77a4ce1064999b78a179eb0de,DUP025,1,Yes,significant_splicing_events_rbp - Nelf-E.csv,495,495,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Nelf-E,
significant_splicing_events_rbp - NonA(1).csv,RBP,NonA,dc9934224c5237ef80508019cf4030b857e6c6cf447b8d7aa71da5c313ddf4fd,DUP033,2,No,significant_splicing_events_rbp - NonA.csv,211,211,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,NonA,Exact duplicate group; only the selected source was included in the combined event tables.
significant_splicing_events_rbp - NonA.csv,RBP,NonA,dc9934224c5237ef80508019cf4030b857e6c6cf447b8d7aa71da5c313ddf4fd,DUP033,2,Yes,significant_splicing_events_rbp - NonA.csv,211,211,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,NonA,Exact duplicate group; only the selected source was included in the combined event tables.
significant_splicing_events_rbp - Orb2.csv,RBP,Orb2,43b8a16c397b97a7677365b4d925a39a2c25b6574fb7914ae137e08f261837ac,DUP009,1,Yes,significant_splicing_events_rbp - Orb2.csv,250,250,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Orb2,
significant_splicing_events_rbp - Rbp6.csv,RBP,Rbp6,a97b7d6b350c1f601094bb8b6c9ac470603dcdf657c2f01448ebe013a88969f1,DUP024,1,Yes,significant_splicing_events_rbp - Rbp6.csv,244,244,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Rbp6,
significant_splicing_events_rbp - Rbp9.csv,RBP,Rbp9,921836befe04c4022b5631be57459a0907957c62318a4fe3458f8ca7022666cd,DUP021,1,Yes,significant_splicing_events_rbp - Rbp9.csv,758,556,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,2,Rbp9 | fne_Rbp9,Contains multiple experiment labels; retained as row-level experiment data.
significant_splicing_events_rbp - Rin.csv,RBP,Rin,5512c105b998cca67271510e8f08917dc65617d8f6efeb465bad3d3899a0517e,DUP013,1,Yes,significant_splicing_events_rbp - Rin.csv,131,131,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Rin,
significant_splicing_events_rbp - Set1.csv,RBP,Set1,1186674d226be3fbc4f8eda6a9583efd4805a86c52a6d694bef987e581c7d978,DUP005,1,Yes,significant_splicing_events_rbp - Set1.csv,83,83,7,event_type | event_id | gene_id | gene_name | experiment | dPSI | p_value,1,Set1,
