TF,Regulator,TF_events,Regulator_events,Shared_exact_events,Jaccard_similarity,Percent_of_TF_events,Percent_of_regulator_events
Ubx,TBPH,822,154,21,0.02198952879581152,2.5547445255474455,13.636363636363637
CLAMP,Elav,408,1503,41,0.021925133689839574,10.049019607843137,2.7278775781769795
BEAF-32,prp19,204,1201,30,0.02181818181818182,14.705882352941176,2.4979184013322233
Ubx,Sqd,822,162,21,0.021806853582554516,2.5547445255474455,12.962962962962964
Dsx,TBPH,175,154,7,0.021739130434782608,4.0,4.545454545454546
vvl,Rin,670,131,17,0.021683673469387755,2.537313432835821,12.977099236641221
Repo,eIF4H1,296,178,10,0.021551724137931036,3.3783783783783785,5.617977528089888
Dsx,Hrb98DE,175,347,11,0.021526418786692758,6.285714285714286,3.170028818443804
Repo,Hrb87F,296,180,10,0.02145922746781116,3.3783783783783785,5.555555555555555
vvl,TBPH,670,154,17,0.021065675340768277,2.537313432835821,11.03896103896104
FKH,TBPH,2174,154,48,0.021052631578947368,2.2079116835326587,31.16883116883117
CLAMP,Rin,408,131,11,0.020833333333333332,2.696078431372549,8.396946564885496
Ubx,NonA,822,211,21,0.020750988142292492,2.5547445255474455,9.95260663507109
Dsx,Elav,175,1503,34,0.02068126520681265,19.428571428571427,2.2621423819028608
FKH,Set1,2174,83,45,0.02034358047016275,2.0699172033118676,54.21686746987952
FKH,Imp,2174,146,46,0.020228671943711522,2.1159153633854646,31.506849315068493
vvl,Syp,670,191,17,0.02014218009478673,2.537313432835821,8.900523560209423
Sox14,Imp,1330,146,29,0.020041465100207326,2.180451127819549,19.863013698630137
BEAF-32,Elav,204,1503,33,0.01971326164874552,16.176470588235293,2.1956087824351296
Sox14,eIF4H1,1330,178,29,0.0196078431372549,2.180451127819549,16.292134831460675
BEAF-32,caz,204,231,8,0.01873536299765808,3.9215686274509802,3.463203463203463
BEAF-32,Sxl,204,303,9,0.018072289156626505,4.411764705882353,2.9702970297029703
BEAF-32,CG4612,204,249,8,0.017977528089887642,3.9215686274509802,3.21285140562249
BEAF-32,Orb2,204,250,8,0.017937219730941704,3.9215686274509802,3.2
BEAF-32,Nelf-E,204,495,12,0.017467248908296942,5.882352941176471,2.4242424242424243
Dsx,CG1316,175,353,9,0.017341040462427744,5.142857142857143,2.54957507082153
Dsx,prp19,175,1201,23,0.016999260901699925,13.142857142857142,1.9150707743547044
Dsx,Rbp6,175,244,7,0.01699029126213592,4.0,2.8688524590163933
Dsx,mod,175,365,9,0.01694915254237288,5.142857142857143,2.4657534246575343
Sox14,ISWI,1330,178,25,0.016857720836142953,1.8796992481203008,14.044943820224718
Dsx,Rbp9,175,556,12,0.016689847009735744,6.857142857142857,2.158273381294964
Repo,Rin,296,131,7,0.016666666666666666,2.364864864864865,5.343511450381679
Sox14,Sqd,1330,162,24,0.01634877384196185,1.8045112781954886,14.814814814814815
Sox14,Hrb87F,1330,180,24,0.016150740242261104,1.8045112781954886,13.333333333333334
Repo,Set1,296,83,6,0.0160857908847185,2.027027027027027,7.228915662650603
BEAF-32,ISWI,204,178,6,0.015957446808510637,2.9411764705882355,3.3707865168539324
Dsx,NonA,175,211,6,0.015789473684210527,3.4285714285714284,2.843601895734597
BEAF-32,Syp,204,191,6,0.015424164524421594,2.9411764705882355,3.141361256544503
Dsx,Sxl,175,303,7,0.014861995753715499,4.0,2.31023102310231
BEAF-32,Hrb98DE,204,347,8,0.014732965009208104,3.9215686274509802,2.3054755043227666
Sox14,Rin,1330,131,21,0.014583333333333334,1.5789473684210527,16.03053435114504
BEAF-32,Imp,204,146,5,0.014492753623188406,2.450980392156863,3.4246575342465753
Dsx,eIF4H1,175,178,5,0.014367816091954023,2.857142857142857,2.808988764044944
BEAF-32,Sqd,204,162,5,0.013850415512465374,2.450980392156863,3.0864197530864197
Repo,Sqd,296,162,6,0.01327433628318584,2.027027027027027,3.7037037037037037
BEAF-32,Hrb87F,204,180,5,0.013192612137203167,2.450980392156863,2.7777777777777777
Sox14,TBPH,1330,154,19,0.012969283276450512,1.4285714285714286,12.337662337662337
Ubx,Rin,822,131,12,0.012752391073326248,1.4598540145985401,9.16030534351145
