TF,Cbp20,METTL3,prp19,Rbp9,Elav,U2af50,mod,CG1316,Nelf-E,Hrb98DE,Sxl,CG4612,Fmr1,caz,Rbp6,Orb2,Syp,ISWI,eIF4H1,NonA,Hrb87F,Sqd,TBPH,Rin,Set1,Imp
FKH,0.16584158415841585,0.12267250821467689,0.09613510880155894,0.08678343949044585,0.09630292188431723,0.06532861078315624,0.05571725571725572,0.04811281625881377,0.06632041550139832,0.05085452271779908,0.052251486830926085,0.04710458081244598,0.03955288048151333,0.032632030914555604,0.036433776253750536,0.03945111492281304,0.024696707105719237,0.030223390275952694,0.030223390275952694,0.03291468168038112,0.02570806100217865,0.023215067893123085,0.021052631578947368,0.025355871886120998,0.02034358047016275,0.020228671943711522
CLAMP,0.06393328700486449,0.08450704225352113,0.06556291390728476,0.06873614190687362,0.021925133689839574,0.062076749435665914,0.06915629322268327,0.07183098591549296,0.04756380510440835,0.06188466947960619,0.04252199413489736,0.0512,0.0636215334420881,0.04071661237785016,0.05331179321486268,0.04777070063694268,0.03993055555555555,0.05017921146953405,0.03716814159292035,0.026533996683250415,0.05,0.034482758620689655,0.03308823529411765,0.020833333333333332,0.03368421052631579,0.007272727272727273
vvl,0.06789755807027993,0.06870748299319727,0.06246450880181715,0.07922535211267606,0.046220510351468465,0.05526315789473684,0.06153846153846154,0.05572755417956656,0.06587374199451052,0.0538860103626943,0.043991416309012876,0.04550625711035267,0.04337899543378995,0.035632183908045977,0.0481651376146789,0.03254769921436588,0.02014218009478673,0.027878787878787878,0.037943696450428395,0.025611175785797437,0.032806804374240585,0.023370233702337023,0.021065675340768277,0.021683673469387755,0.010738255033557046,0.007407407407407408
Sox14,0.08348056537102473,0.060361216730038025,0.10043478260869565,0.04314159292035398,0.130938123752495,0.06274957216200798,0.03227771010962241,0.04339739615623062,0.03870233352305066,0.043559427504667084,0.03485424588086185,0.030678851174934726,0.03077930582842174,0.03377483443708609,0.024072869225764477,0.023979261179520414,0.03469387755102041,0.016857720836142953,0.0196078431372549,0.025282767797737856,0.016150740242261104,0.01634877384196185,0.012969283276450512,0.014583333333333334,0.009285714285714286,0.020041465100207326
Ubx,0.05420054200542006,0.06952203600248293,0.08530042918454936,0.055938697318007664,0.05061003163126977,0.08313349320543566,0.04397537379067722,0.036155202821869487,0.04110671936758893,0.0400355871886121,0.046511627906976744,0.02390057361376673,0.027965284474445518,0.0283203125,0.024015369836695485,0.0248565965583174,0.03472931562819203,0.03842159916926272,0.026694045174537988,0.020750988142292492,0.030864197530864196,0.021806853582554516,0.02198952879581152,0.012752391073326248,0.010044642857142858,0.006237006237006237
Repo,0.045689019896831246,0.050921861281826165,0.04102920723226704,0.04156479217603912,0.02507122507122507,0.042767295597484274,0.04094488188976378,0.03508771929824561,0.03129074315514994,0.0288,0.0472027972027972,0.030245746691871456,0.038461538461538464,0.03944773175542406,0.02857142857142857,0.03018867924528302,0.02526315789473684,0.037199124726477024,0.021551724137931036,0.02631578947368421,0.02145922746781116,0.01327433628318584,0.008968609865470852,0.016666666666666666,0.0160857908847185,0.00683371298405467
Dsx,0.02527646129541864,0.03861003861003861,0.016999260901699925,0.016689847009735744,0.02068126520681265,0.011428571428571429,0.01694915254237288,0.017341040462427744,0.007518796992481203,0.021526418786692758,0.014861995753715499,0.024154589371980676,0.012077294685990338,0.025252525252525252,0.01699029126213592,0.011904761904761904,0.030985915492957747,0.005698005698005698,0.014367816091954023,0.015789473684210527,0.002824858757062147,0.0243161094224924,0.021739130434782608,0.009900990099009901,0.011764705882352941,0.012618296529968454
BEAF-32,0.02471042471042471,0.03271028037383177,0.02181818181818182,0.028416779431664412,0.01971326164874552,0.026462395543175487,0.008865248226950355,0.009057971014492754,0.017467248908296942,0.014732965009208104,0.018072289156626505,0.017977528089887642,0.006741573033707865,0.01873536299765808,0.004484304932735426,0.017937219730941704,0.015424164524421594,0.015957446808510637,0.0079155672823219,0.022167487684729065,0.013192612137203167,0.013850415512465374,0.011299435028248588,0.009036144578313253,0.0,0.014492753623188406
