regulator_type,regulator,total_spliced_genes,non_sex_specific_spliced_genes,sex_specific_spliced_genes,percent_non_sex_specific_spliced_genes,percent_sex_specific_spliced_genes,unique_splicing_events,sex_specific_splicing_events
TF,FKH,1294,1257,37,97.14064914992272,2.8593508500772797,2174,44
TF,Sox14,837,805,32,96.1768219832736,3.823178016726404,1330,36
TF,vvl,518,508,10,98.06949806949807,1.9305019305019304,670,10
TF,Ubx,393,366,27,93.12977099236642,6.870229007633588,822,32
TF,CLAMP,321,312,9,97.19626168224299,2.803738317757009,408,9
TF,Repo,226,218,8,96.46017699115045,3.5398230088495577,296,8
TF,BEAF-32,168,165,3,98.21428571428571,1.7857142857142858,204,3
TF,Dsx,153,149,4,97.38562091503267,2.6143790849673203,175,4
